name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Geraldton,-28.77,114.6,57.2,93,90,6.93,AU,1600984369
Weligama,5.97,80.42,79.11,85,100,8.25,LK,1600984641
Bluff,-46.6,168.33,46.99,96,97,10.0,NZ,1600984641
Bethel,41.37,-73.41,72.0,56,1,4.7,US,1600984529
La Santisima Trinidad,-14.83,-64.9,95.0,44,21,8.05,BO,1600984641
Huarmey,-10.07,-78.15,66.04,70,100,11.14,PE,1600984641
Kerema,-7.96,145.78,78.75,86,78,7.54,PG,1600984642
Tselinnoye,53.08,85.67,41.0,91,100,15.39,RU,1600984642
Kaohsiung City,22.62,120.31,78.8,83,75,6.93,TW,1600984642
Gondanglegi,-7.75,112.01,76.1,82,75,11.65,ID,1600984642
Aripuanã,-9.17,-60.63,87.53,47,51,0.92,BR,1600984643
Roebourne,-20.78,117.13,71.44,53,0,9.78,AU,1600984643
Dogondoutchi,13.64,4.03,90.59,43,66,7.31,NE,1600984643
Narsaq,60.92,-46.05,41.0,48,75,54.13,GL,1600984644
Kargasok,59.06,80.86,45.64,95,100,12.93,RU,1600984644
Ţahţā,26.77,31.5,84.2,37,0,14.99,EG,1600984566
Hong Kong,22.29,114.16,82.0,80,100,6.38,HK,1600984524
Payo,-3.75,103.64,72.07,91,95,1.63,ID,1600984644
Slobodskoy,58.73,50.18,43.14,89,19,4.65,RU,1600984645
Manokwari,-0.87,134.08,80.55,72,90,4.18,ID,1600984645
Karratha,-20.74,116.85,69.24,51,0,9.48,AU,1600984645
Anadyr,64.75,177.48,33.8,80,75,13.42,RU,1600984645
Zapolyarnyy,69.42,30.81,41.0,75,90,9.17,RU,1600984645
Sitka,57.05,-135.33,53.6,87,75,6.38,US,1600984566
Naze,28.37,129.48,78.8,88,40,6.93,JP,1600984646
Caravelas,-17.71,-39.25,72.93,78,6,6.58,BR,1600984546
Bubaque,11.28,-15.83,81.77,80,62,12.41,GW,1600984646
Mana,5.66,-53.78,80.15,82,95,9.24,GF,1600984646
Chapais,49.78,-74.85,48.2,49,1,9.17,CA,1600984647
Hurghada,27.26,33.81,86.0,30,0,11.41,EG,1600984647
Berlevåg,70.86,29.09,39.2,86,70,8.05,NO,1600984647
Teahupoo,-17.83,-149.27,86.0,62,20,20.8,PF,1600984494
Marysville,48.05,-122.18,66.0,72,90,10.29,US,1600984648
Lewistown,40.6,-77.57,75.2,53,1,6.93,US,1600984381
Piopio,-38.47,175.02,60.6,57,36,6.98,NZ,1600984648
Lebu,-37.62,-73.65,51.71,78,0,11.01,CL,1600984568
Kollegāl,12.15,77.12,70.21,92,97,3.78,IN,1600984648
Saint-Pierre,-21.34,55.48,66.2,59,0,4.7,RE,1600984649
Kang,-23.68,22.79,72.32,30,8,7.09,BW,1600984649
Tuktoyaktuk,69.45,-133.04,37.4,93,90,21.92,CA,1600984649
Lüderitz,-26.65,15.16,58.15,83,5,3.65,NA,1600984649
