name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Los Llanos de Aridane,28.66,-17.92,79.0,54,94,8.05,ES,1601084694
Yuanping,38.72,112.76,63.37,62,0,3.31,CN,1601084694
Abaza,52.66,90.09,40.12,80,98,1.99,RU,1601084695
Patawag,8.11,122.62,85.66,70,88,4.76,PH,1601084695
Winslow,35.02,-110.7,86.0,15,1,16.11,US,1601084674
Mazagão,-0.12,-51.29,80.6,94,20,8.05,BR,1601084695
Lagoa Seca,-7.17,-35.85,63.63,100,17,7.9,BR,1601084696
Mosquera,4.71,-74.23,55.4,71,40,4.7,CO,1601084669
Verkhotur'ye,58.86,60.81,41.85,93,1,4.85,RU,1601084696
Moba,33.23,105.02,50.92,99,100,3.94,CN,1601084696
Huarmey,-10.07,-78.15,61.38,81,2,8.77,PE,1601084696
Xingyi,24.19,102.82,65.03,90,99,2.98,CN,1601084697
Sayyan,15.17,44.32,58.93,32,0,4.43,YE,1601084697
Edd,13.93,41.69,85.69,63,0,4.63,ER,1601084697
Camabatela,-8.19,15.38,62.33,97,94,5.64,AO,1601084698
Port Blair,11.67,92.75,83.23,77,37,13.4,IN,1601084698
Bojnourd,37.47,57.33,53.6,71,0,4.14,IR,1601084698
Doha,25.29,51.53,86.0,66,0,3.36,QA,1601084698
Kingman,35.19,-114.05,93.0,11,1,13.87,US,1601084699
Ostrovnoy,68.05,39.51,48.29,80,94,16.13,RU,1601084699
Shimoda,34.67,138.95,68.0,100,75,18.34,JP,1601084699
Camacha,33.08,-16.33,71.6,78,75,10.29,PT,1601084699
College,64.86,-147.8,44.6,75,90,3.36,US,1601084588
Zavallya,48.21,30.02,58.39,72,73,7.54,UA,1601084700
Fernandina Beach,30.67,-81.46,80.6,88,17,6.93,US,1601084700
Praia da Vitória,38.73,-27.07,68.0,82,75,13.58,PT,1601084700
Gamba,-2.65,10.0,74.88,85,100,7.16,GA,1601084701
Teahupoo,-17.83,-149.27,82.4,69,75,11.41,PF,1601084701
Araouane,18.9,-3.53,93.99,12,14,5.88,ML,1601084701
Riyadh,24.69,46.72,75.2,33,2,3.29,SA,1601084430
Zhuanghe,39.7,122.99,69.01,61,0,5.66,CN,1601084702
Borogontsy,62.67,131.17,49.28,55,100,10.42,RU,1601084702
Goderich,43.75,-81.72,63.0,81,0,12.5,CA,1601084538
Rawson,-43.3,-65.1,55.58,48,0,6.42,AR,1601084702
Opuwo,-18.06,13.84,60.33,33,0,4.5,NA,1601084704
Pangai,-19.8,-174.35,80.6,69,40,14.99,TO,1601084704
Santa Quitéria,-4.33,-40.16,71.35,83,4,3.8,BR,1601084587
Henties Bay,-22.12,14.28,52.0,89,1,10.09,NA,1601084705
